# name|return_type|param_name:type,param_name:type
ABDAY_1|int|void
ABDAY_2|int|void
ABDAY_3|int|void
ABDAY_4|int|void
ABDAY_5|int|void
ABDAY_6|int|void
ABDAY_7|int|void
ABI_DEFHANDLER_COFF|int|void
ABI_DEFHANDLER_ELF|int|void
ABI_DEFHANDLER_LCALL7|int|void
ABI_DEFHANDLER_LIBCSO|int|void
ABI_FAKE_UTSNAME|int|void
ABI_TRACE|int|void
ABMON_10|int|void
ABMON_11|int|void
ABMON_12|int|void
ABMON_1|int|void
ABMON_2|int|void
ABMON_3|int|void
ABMON_4|int|void
ABMON_5|int|void
ABMON_6|int|void
ABMON_7|int|void
ABMON_8|int|void
ABMON_9|int|void
ABORT|int|void
ACCESSPERMS|int|void
ACCESS_DESCRIPTION_free|void|a:int
ACCESS_DESCRIPTION_new|int|void
ACCESS_DESCRIPTION_st|int|param1129466192:int
ACCOUNTING|void|void
ACCT_BYTEORDER|int|void
ACCT_COMM|int|void
ACK|int|void
ACORE|int|void
AC|int|void
ADDRTYPE_ADDRPORT|int|void
ADDRTYPE_CHAOS|int|void
ADDRTYPE_DDP|int|void
ADDRTYPE_INET6|int|void
ADDRTYPE_INET|int|void
ADDRTYPE_IPPORT|int|void
ADDRTYPE_ISO|int|void
ADDRTYPE_NETBIOS|int|void
ADDRTYPE_XNS|int|void
ADDR_COMPAT_LAYOUT|int|void
ADDR_LIMIT_32BIT|int|void
ADDR_LIMIT_3GB|int|void
ADDR_NO_RANDOMIZE|int|void
ADD_IBASE|int|void
ADD_NAME|int|void
ADD_OVERWRITE|int|void
ADD_RESERVED|int|void
ADN_FULLNAME|int|void
ADN_NICKNAME|int|void
AD_TYPE_EXTERNAL|int|void
AD_TYPE_FIELD_TYPE_MASK|int|void
AD_TYPE_REGISTERED|int|void
AD_TYPE_RESERVED|int|void
AES_BLOCK_SIZE|int|void
AES_DECRYPT|int|void
AES_ENCRYPT|int|void
AES_MAXNR|int|void
AES_bi_ige_encrypt|void|in:int,out:int,length:int,key:int,key2:int,ivec:int,enc:int
AES_cbc_encrypt|void|in:int,out:int,length:int,key:int,ivec:int,enc:int
AES_cfb128_encrypt|void|in:int,out:int,length:int,key:int,ivec:int,num:int,enc:int
AES_cfb1_encrypt|void|in:int,out:int,length:int,key:int,ivec:int,num:int,enc:int
AES_cfb8_encrypt|void|in:int,out:int,length:int,key:int,ivec:int,num:int,enc:int
AES_ctr128_encrypt|void|in:int,out:int,length:int,key:int,ivec:int,ecount_buf:int,num:int
AES_decrypt|void|in:int,out:int,key:int
AES_ecb_encrypt|void|in:int,out:int,key:int,enc:int
AES_encrypt|void|in:int,out:int,key:int
AES_ige_encrypt|void|in:int,out:int,length:int,key:int,ivec:int,enc:int
AES_ofb128_encrypt|void|in:int,out:int,length:int,key:int,ivec:int,num:int
AES_options|int|void
AES_set_decrypt_key|int|userKey:int,bits:int,key:int
AES_set_encrypt_key|int|userKey:int,bits:int,key:int
AES_unwrap_key|int|key:int,iv:int,out:int,in:int,inlen:uint
AES_wrap_key|int|key:int,iv:int,out:int,in:int,inlen:uint
AFMT_AC3|int|void
AFMT_A_LAW|int|void
AFMT_IMA_ADPCM|int|void
AFMT_MPEG|int|void
AFMT_MU_LAW|int|void
AFMT_QUERY|int|void
AFMT_S16_BE|int|void
AFMT_S16_LE|int|void
AFMT_S16_NE|int|void
AFMT_S8|int|void
AFMT_U16_BE|int|void
AFMT_U16_LE|int|void
AFMT_U8|int|void
AFORK|int|void
AF_APPLETALK|int|void
AF_ASH|int|void
AF_ATMPVC|int|void
AF_ATMSVC|int|void
AF_AX25|int|void
AF_BLUETOOTH|int|void
AF_BRIDGE|int|void
AF_CAN|int|void
AF_DECnet|int|void
AF_ECONET|int|void
AF_FILE|int|void
AF_IEEE802154|int|void
AF_INET6|int|void
AF_INET|int|void
AF_IPX|int|void
AF_IRDA|int|void
AF_ISDN|int|void
AF_IUCV|int|void
AF_KEY|int|void
AF_LLC|int|void
AF_LOCAL|int|void
AF_MAX|int|void
AF_NETBEUI|int|void
AF_NETLINK|int|void
AF_NETROM|int|void
AF_PACKET|int|void
AF_PHONET|int|void
AF_PPPOX|int|void
AF_RDS|int|void
AF_ROSE|int|void
AF_ROUTE|int|void
AF_RXRPC|int|void
AF_SECURITY|int|void
AF_SNA|int|void
AF_TIPC|int|void
AF_UNIX|int|void
AF_UNSPEC|int|void
AF_WANPIPE|int|void
AF_X25|int|void
AHZ|int|void
AIO_ALLDONE|int|void
AIO_CANCELED|int|void
AIO_NOTCANCELED|int|void
AIO_PRIO_DELTA_MAX|int|void
AI_ADDRCONFIG|int|void
AI_ALL|int|void
AI_CANONIDN|int|void
AI_CANONNAME|int|void
AI_IDN_ALLOW_UNASSIGNED|int|void
AI_IDN_USE_STD3_ASCII_RULES|int|void
AI_IDN|int|void
AI_NUMERICHOST|int|void
AI_NUMERICSERV|int|void
AI_PASSIVE|int|void
AI_V4MAPPED|int|void
ALLPERMS|int|void
ALL_RESULTS|int|void
ALT_DIGITS|int|void
AM_STR|int|void
ANNOUNCE|int|void
ANYADDR|int|void
ANYMARK|int|void
AO|int|void
APF_CPUINTENS|int|void
APF_NETWORK|int|void
APF_NORMAL|int|void
AP_OPTS_ETYPE_NEGOTIATION|int|void
AP_OPTS_MUTUAL_REQUIRED|int|void
AP_OPTS_RESERVED|int|void
AP_OPTS_USE_SESSION_KEY|int|void
AP_OPTS_USE_SUBKEY|int|void
AP_OPTS_WIRE_MASK|int|void
ARCDENSITY|int|void
ARPD_FLUSH|int|void
ARPD_LOOKUP|int|void
ARPD_UPDATE|int|void
ARPHRD_ADAPT|int|void
ARPHRD_APPLETLK|int|void
ARPHRD_ARCNET|int|void
ARPHRD_ASH|int|void
ARPHRD_ATM|int|void
ARPHRD_AX25|int|void
ARPHRD_BIF|int|void
ARPHRD_CHAOS|int|void
ARPHRD_CISCO|int|void
ARPHRD_CSLIP6|int|void
ARPHRD_CSLIP|int|void
ARPHRD_DDCMP|int|void
ARPHRD_DLCI|int|void
ARPHRD_ECONET|int|void
ARPHRD_EETHER|int|void
ARPHRD_ETHER|int|void
ARPHRD_EUI64|int|void
ARPHRD_FCAL|int|void
ARPHRD_FCFABRIC|int|void
ARPHRD_FCPL|int|void
ARPHRD_FCPP|int|void
ARPHRD_FDDI|int|void
ARPHRD_FRAD|int|void
ARPHRD_HDLC|int|void
ARPHRD_HIPPI|int|void
ARPHRD_HWX25|int|void
ARPHRD_IEEE1394|int|void
ARPHRD_IEEE80211_PRISM|int|void
ARPHRD_IEEE80211_RADIOTAP|int|void
ARPHRD_IEEE80211|int|void
ARPHRD_IEEE802154_PHY|int|void
ARPHRD_IEEE802154|int|void
